Latitude,Longitude,Weather,Light_Condition,Road_Surface,Road_Function,Speed_Limit(MPH),Day,Month,Hour,Number_of_Vehicles,Intersection,Fatalities
34.03366111,-117.3249694,Cloudy,Dark - Lighted,Dry,Interstate,55.0,23,January,2:00am-2:59am,2,Not an Intersection,1
34.005075,-117.524375,Clear,Dark - Lighted,Dry,Major Collector,55.0,15,January,10:00pm-10:59pm,1,Not an Intersection,1
36.75864722,-119.7998611,Cloudy,Dark - Lighted,Non-Trafficway or Driveway Access,Local,49.0,7,February,1:00am-1:59am,1,Not an Intersection,1
34.44891667,-119.9613306,Clear,Dark - Not Lighted,Dry,Other Freeways and Expressways,65.0,5,January,2:00am-2:59am,2,Not an Intersection,1
34.07832778,-118.2885583,Clear,Dark - Lighted,Dry,Interstate,55.0,10,February,11:00pm-11:59pm,1,Not an Intersection,1
35.71793611,-119.1769167,Clear,Dark - Not Lighted,Dry,Minor Collector,55.0,14,March,6:00am-6:59am,1,Not an Intersection,1
35.29664167,-118.8252778,Clear,Dark - Not Lighted,Dry,Major Collector,55.0,28,February,11:00pm-11:59pm,1,Not an Intersection,1
38.65779444,-121.341475,Rain,Dark - Not Lighted,Wet,Major Collector,35.0,1,March,1:00am-1:59am,1,Not an Intersection,1
33.91900833,-116.7955111,Cloudy,Daylight,Dry,Interstate,70.0,24,March,11:00am-11:59am,1,Not an Intersection,1
35.35422778,-119.0460139,Clear,Dark - Lighted,Dry,Other Principal Arterial,40.0,10,January,11:00pm-11:59pm,1,Not Reported,1
37.965875,-121.7398194,Clear,Dark - Lighted,Dry,Other Freeways and Expressways,65.0,10,February,4:00am-4:59am,2,Not an Intersection,2
35.25958889,-118.9852972,Rain,Dark - Not Lighted,Wet,Local,55.0,3,February,9:00pm-9:59pm,1,T-Intersection,2
33.75867778,-116.3563306,Clear,Dark - Not Lighted,Dry,Other Principal Arterial,55.0,12,March,7:00pm-7:59pm,1,Not an Intersection,1
34.50060556,-117.1549583,Clear,Dark - Not Lighted,Dry,Other Principal Arterial,55.0,1,January,0:00am-0:59am,1,Not an Intersection,1
33.73917222,-117.0728278,Rain,Dark - Not Lighted,Wet,Other Principal Arterial,50.0,6,February,6:00pm-6:59pm,1,Not an Intersection,1
33.58145,-116.07895,Clear,Daylight,Dry,Major Collector,55.0,14,February,12:00pm-12:59pm,1,Not an Intersection,1
38.61059167,-121.5099417,Clear,Dark - Lighted,Dry,Interstate,65.0,14,February,4:00am-4:59am,1,Not an Intersection,1
38.34619722,-119.3271389,Clear,Dark - Not Lighted,Dry,Other Principal Arterial,65.0,17,March,8:00pm-8:59pm,3,Not an Intersection,1
41.75724722,-122.0655028,Snow,Dark - Not Lighted,Snow,Other Principal Arterial,65.0,3,March,6:00pm-6:59pm,1,Not an Intersection,1
38.48174444,-121.3616278,Clear,Dark - Not Lighted,Dry,Major Collector,50.0,3,January,10:00pm-10:59pm,1,T-Intersection,1
35.3981,-118.9852917,Cloudy,Dark - Not Lighted,Dry,Minor Arterial,40.0,27,February,9:00pm-9:59pm,2,T-Intersection,1
33.18110556,-117.329475,Cloudy,Daylight,Not Reported,Other Freeways and Expressways,65.0,3,March,4:00pm-4:59pm,2,Not an Intersection,1
33.84724167,-117.8977,Clear,Dark - Lighted,Dry,Other Principal Arterial,35.0,20,March,9:00pm-9:59pm,1,Four-Way Intersection,1
35.33047778,-119.0397194,Clear,Dark - Not Lighted,Dry,Other Freeways and Expressways,65.0,14,January,4:00am-4:59am,1,Not an Intersection,2
37.9633,-122.3458306,Clear,Dark - Lighted,Dry,Major Collector,35.0,22,February,2:00am-2:59am,1,Y-Intersection,1
38.02618056,-121.8861611,Clear,Dark - Lighted,Dry,Other Principal Arterial,35.0,6,January,1:00am-1:59am,2,Not an Intersection,1
34.06772222,-117.7520611,Clear,Dark - Lighted,Dry,Minor Arterial,30.0,12,January,7:00pm-7:59pm,3,Four-Way Intersection,1
37.84935556,-121.28305,Clear,Daylight,Dry,Minor Arterial,45.0,21,January,4:00pm-4:59pm,2,Not an Intersection,2
34.04536111,-117.8027528,Clear,Dark - Lighted,Dry,Other Principal Arterial,45.0,23,January,6:00pm-6:59pm,1,Not an Intersection,1
36.76477222,-119.82795,Cloudy,Dark - Lighted,Wet,Minor Arterial,35.0,18,February,3:00am-3:59am,1,Not an Intersection,1
34.04394444,-117.7583611,Cloudy,Dark - Lighted,Dry,Minor Arterial,35.0,2,March,10:00pm-10:59pm,2,Four-Way Intersection,3
34.02725278,-117.3639722,Cloudy,Dark - Not Lighted,Dry,Other Principal Arterial,50.0,23,March,2:00am-2:59am,2,Not an Intersection,1
33.05031944,-117.0725222,Clear,Daylight,Dry,Interstate,65.0,18,February,5:00pm-5:59pm,1,Not an Intersection,1
37.0163,-121.5630944,Rain,Dark - Not Lighted,Wet,Minor Arterial,65.0,17,February,8:00pm-8:59pm,1,Not an Intersection,1
37.98843889,-122.0629444,Cloudy,Daylight,Dry,Minor Arterial,35.0,6,February,2:00pm-2:59pm,1,Not an Intersection,1
39.08645278,-121.5788861,Clear,Dark - Lighted,Dry,Major Collector,55.0,26,February,7:00pm-7:59pm,4,Not an Intersection,1
41.40792222,-120.1286861,Severe Crosswinds,Daylight,Dry,Major Collector,55.0,27,March,12:00pm-12:59pm,1,Not an Intersection,1
34.05916944,-117.9734972,Clear,Dark - Lighted,Dry,Minor Arterial,40.0,16,February,4:00am-4:59am,2,Not an Intersection,1
34.78870833,-116.4598361,Clear,Daylight,Dry,Interstate,70.0,8,March,4:00pm-4:59pm,1,Not an Intersection,1
33.9598,-118.2812056,Clear,Dark - Lighted,Dry,Interstate,65.0,14,March,9:00pm-9:59pm,2,Not an Intersection,1
33.93658611,-117.5557083,Clear,Dark - Not Lighted,Dry,Interstate,65.0,24,March,1:00am-1:59am,1,Not an Intersection,1
33.79229167,-117.8356833,Clear,Daylight,Dry,Other Principal Arterial,40.0,12,March,11:00am-11:59am,1,Not an Intersection,1
33.70349722,-117.1764944,Rain,Daylight,Wet,Local,35.0,31,March,1:00pm-1:59pm,2,Not an Intersection,1
37.96271667,-122.3454528,Clear,Dark - Lighted,Dry,Other Principal Arterial,35.0,15,March,5:00am-5:59am,1,Not Reported,1
34.88715278,-117.0041806,Clear,Daylight,Dry,Interstate,70.0,2,April,12:00pm-12:59pm,1,Not an Intersection,1
37.63837778,-120.7944333,Clear,Daylight,Dry,Minor Arterial,55.0,9,February,10:00am-10:59am,2,Not an Intersection,1
37.63255278,-120.9625167,Cloudy,Daylight,Dry,Major Collector,30.0,5,March,2:00pm-2:59pm,2,Not an Intersection,1
37.90525278,-121.2865917,"Fog, Smog, Smoke",Dark - Not Lighted,Wet,Interstate,65.0,2,January,5:00am-5:59am,2,Not an Intersection,1
39.21176389,-121.6391056,Rain,Dark - Not Lighted,Wet,Other Principal Arterial,55.0,2,February,0:00am-0:59am,1,Not an Intersection,2
35.56285,-119.8038611,Clear,Daylight,Dry,Minor Arterial,55.0,21,March,6:00pm-6:59pm,1,Not an Intersection,1
39.14137222,-122.8826778,Rain,Dark - Not Lighted,Wet,Other Principal Arterial,55.0,4,February,7:00pm-7:59pm,1,Not an Intersection,1
38.55609444,-121.5521194,Clear,Dark - Not Lighted,Dry,Other Principal Arterial,45.0,16,February,3:00am-3:59am,1,Not an Intersection,1
38.51744722,-120.4575056,Clear,Daylight,Dry,Other Principal Arterial,55.0,21,March,5:00pm-5:59pm,1,Not an Intersection,1
38.02093889,-121.2901833,Cloudy,Daylight,Dry,Other Principal Arterial,40.0,2,January,1:00pm-1:59pm,2,Four-Way Intersection,1
37.96315278,-120.2845111,Clear,Daylight,Dry,Major Collector,35.0,26,January,4:00pm-4:59pm,2,Four-Way Intersection,1
40.79400278,-123.3695333,Clear,Reported as Unknown,Dry,Other Principal Arterial,55.0,23,January,Unknown Hours,1,Not an Intersection,1
40.91881111,-123.7788917,Rain,Daylight,Wet,Local,35.0,15,February,Unknown Hours,1,Not an Intersection,1
37.67475556,-121.0123917,Cloudy,Daylight,Wet,Minor Arterial,35.0,3,January,12:00pm-12:59pm,1,Four-Way Intersection,1
36.77194722,-119.8443417,Other,Dark - Lighted,Dry,Minor Arterial,40.0,28,January,2:00am-2:59am,2,Four-Way Intersection,2
36.62155,-121.6646111,Rain,Daylight,Wet,Major Collector,55.0,4,February,2:00pm-2:59pm,2,Not an Intersection,1
38.41224167,-122.6500111,Cloudy,Dark - Not Lighted,Dry,Major Collector,45.0,16,February,11:00pm-11:59pm,1,Not an Intersection,1
37.32056667,-120.5620583,Clear,Daylight,Dry,Local,55.0,10,February,12:00pm-12:59pm,1,Not an Intersection,1
34.226625,-118.3863222,Rain,Dark - Lighted,Wet,Interstate,65.0,19,February,6:00pm-6:59pm,1,Not an Intersection,1
36.71575833,-121.6616444,Cloudy,Dark - Lighted,Wet,Other Freeways and Expressways,65.0,1,March,10:00pm-10:59pm,2,Not an Intersection,1
35.58788333,-120.6376917,Clear,Dark - Not Lighted,Dry,Major Collector,55.0,10,March,0:00am-0:59am,1,Not an Intersection,1
34.24253333,-119.0100028,Clear,Daylight,Dry,Minor Arterial,45.0,2,January,10:00am-10:59am,1,Not an Intersection,1
34.02659167,-118.0388444,Clear,Daylight,Dry,Interstate,65.0,24,February,10:00am-10:59am,2,Not an Intersection,1
35.25878333,-120.6736472,Rain,Dark - Lighted,Wet,Other Freeways and Expressways,65.0,2,March,11:00pm-11:59pm,1,Not an Intersection,1
